source_metadata_id,ark,manifest_url
99114252533506421,ark:/88435/d791sr76b,https://figgy.princeton.edu/concern/scanned_resources/8521054b-778a-4c8f-a86b-86ffc7a9fa0e/manifest
99114262663506421,ark:/88435/dcd791ss36z,https://figgy.princeton.edu/concern/scanned_resources/6def1bc2-16a9-4724-91d3-0567bfd7396c/manifest
9930076723506421,ark:/88435/pg15bq46d,https://figgy.princeton.edu/concern/scanned_resources/a33180bc-78bf-464e-baae-09e34bb3f731/manifest
99114259313506421,ark:/88435/dc4x51hv217,https://figgy.princeton.edu/concern/scanned_resources/c77bc05b-30b4-4308-b347-3db96938c0e4/manifest
99114262883506421,ark:/88435/dc5h73q586k,https://figgy.princeton.edu/concern/scanned_resources/eeb715e4-9bd7-4d86-a0fa-da10ff5bfdc5/manifest
99114256823506421,ark:/88435/qj72ph76p,https://figgy.princeton.edu/concern/scanned_resources/90ee79d2-a1a5-4421-99df-b0f845b22a07/manifest
9926125823506421,ark:/88435/t722hk440,https://figgy.princeton.edu/concern/scanned_resources/8d8d66b9-0808-4be6-af68-1695e7a41fa0/manifest
9925102223506421,ark:/88435/6108vc001,https://figgy.princeton.edu/concern/scanned_resources/f88590b9-ef26-441b-933a-d38849c3c2f5/manifest
9972908793506421,ark:/88435/cz30pv036,https://figgy.princeton.edu/concern/scanned_resources/afd8422d-1515-4007-b4f4-faf8ddd12bd3/manifest
9916516953506421,ark:/88435/cj82k803z,https://figgy.princeton.edu/concern/scanned_resources/d1ef143a-61f9-4b67-b589-cffec537a783/manifest
99114259793506421,ark:/88435/dcz029pf91g,https://figgy.princeton.edu/concern/scanned_resources/6d6e302d-7a70-45d4-8b6a-716ca1587904/manifest
99114250213506421,ark:/88435/1r66j9772,https://figgy.princeton.edu/concern/scanned_resources/6d633815-0c6d-401f-b378-28860492a681/manifest
99114261133506421,ark:/88435/dcbk128m707,https://figgy.princeton.edu/concern/scanned_resources/656169a1-810e-4c38-98b6-8c78bda47417/manifest
99114250723506421,ark:/88435/9g54xt28d,https://figgy.princeton.edu/concern/scanned_resources/6188842d-f46c-4490-98d6-369210a988bd/manifest
99114255013506421,ark:/88435/s1784w33b,https://figgy.princeton.edu/concern/scanned_resources/3ea43465-db55-4bc8-b45e-485abb81a67c/manifest
99114260633506421,ark:/88435/dcm900p422f,https://figgy.princeton.edu/concern/scanned_resources/3e33fd27-a991-421c-8b78-82b3c546386a/manifest
99114250933506421,ark:/88435/ns064g63z,https://figgy.princeton.edu/concern/scanned_resources/487c15be-4210-4aee-8d37-36cde58b229b/manifest
