manifest_url,parent_manifest_url,source_metadata_id,ark,title,creator,date,language,publisher,extent,size_cm,content_type,collections,subject,page_count,error
https://figgy.princeton.edu/concern/scanned_resources/44bec75c-4798-49c6-9039-2f1940f58a03/manifest,,99124841423506421,ark:/88435/dctb09jg97f,"A collection of testimonies in favor of religious liberty, in the case of the dissenters, Catholics, and Jews. By a Christian politician","Vaughan, Benjamin, 1751-1835",1790,English,"London, Printed in the year 1790. Sold by C. Dilly, Poultry; J. Johnson, St. Paul's Church-Yard; and J. Debrett, Piccadilly, 1790","6, 119, [1], xx p. ; 8⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,149,
https://figgy.princeton.edu/concern/scanned_resources/cd4e60f8-70c6-4e54-9871-b4eb5bcb0b7b/manifest?flatten=true,https://figgy.princeton.edu/concern/scanned_resources/48028a84-b63c-4e11-932b-f9d6e1686c9e/manifest,99124841453506421,ark:/88435/dc9880w231w,"Arnould, De la balance - tome 1",,,,,,,,,,365,
https://figgy.princeton.edu/concern/scanned_resources/bc3353b0-c25a-4fab-b821-7b57a5432760/manifest?flatten=true,https://figgy.princeton.edu/concern/scanned_resources/48028a84-b63c-4e11-932b-f9d6e1686c9e/manifest,99124841453506421,ark:/88435/dc9880w231w,"Arnould, De la balance - tome 2",,,,,,,,,,320,
https://figgy.princeton.edu/concern/scanned_resources/0af308cc-009a-4b32-8a46-fd4c8fb71938/manifest,,9914054463506421,ark:/88435/k3569d95w,The prince of peace; and other poems.,"Cartwright, Edmund, 1743-1823",1779,English,"London, Printed for J. Murray, 1779.","[2], 44 [i.e. 48], [2] p. ; 26 cm.",26,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,"United States—History—Revolution, 1775-1783—Poetry",61,
https://figgy.princeton.edu/concern/scanned_resources/3a33a269-24ca-495d-8552-2ee3c77f85fe/manifest,,9925143023506421,ark:/88435/dc2j62sg03x,The libertie of the subject: against the pretended power of impositions. Maintained by an argument in Parliament an⁰. 7⁰ Jacobi regis. By William Hakewil.,"Hakewill, William, 1574-1655",1641,English,"London, Printed by R. H., 1641.","[8], 142 p., [2] 18 1/2 cm. (4to).",2,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,Taxation—Great Britain,161,
https://figgy.princeton.edu/concern/scanned_resources/29bff43e-e657-4600-a920-b14f12c34930/manifest,,99114250113506421,ark:/88435/dc1r66jb28q,"A conference desired by the Lords and had by a committee of both houses, concerning the rights and privileges of the subjects / discoursed by Sir Dudley Digges, Sir Edward Littleton Knight, now Lord Keeper, Master Selden, Sir Edward Cooke ; with the objections by Sir Robert Heath, Knight, then Attorney Generall, and the answers, 3 ̊Apr. 4. Car. 1628.",England and Wales. Parliament,1642,English,"London : printed by A[lice]. N[orton]. for Mathew Walbancke, and Richard Best, and are to be sold at their shops at Graies-Inne Gate, 1642.","[2], 91, [1] pages 4⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,103,
https://figgy.princeton.edu/concern/scanned_resources/c3477d01-a9a0-46ba-914c-1a527975acd7/manifest,,99114251153506421,ark:/88435/dc3484zt33j,An Act to encourage the importation of pig and bar iron from His Majesty’s colonies in America; and to prevent the erection of any mill or other engine for slitting or rolling of iron; or any plateing forge to work with a tilt hammer; or any furnace for making steel in any of the said colonies.,Great Britain,1750,English,"London : Printed by Thomas Baskett, printer to the King's Most Excellent Majesty; and by the assigns of Robert Baskett, 1750.","[2], 517-526 p. ; 2⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,11,
https://figgy.princeton.edu/concern/scanned_resources/4baca637-0f2c-41bb-a026-681bf2df3264/manifest,,99114251773506421,ark:/88435/dc2801ps756,"An Act for the better recruiting His Majesty’s forces on the continent of America; and for the better regulation of the Army, and preventing of desertion there.",Great Britain,1756,English,"London : printed by Thomas Baskett and by the assigns of Robert Baskett, 1756.","[2], 583-590 p., ; 2⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,11,
https://figgy.princeton.edu/concern/scanned_resources/2e620813-13da-4148-ac4c-42f7fc8019c4/manifest,,Lapidus_11424997,,,,,,,,,,,,,HTTP Error 403: Forbidden
https://figgy.princeton.edu/concern/scanned_resources/31427c46-cf80-422c-aaf2-0d28ff81fd35/manifest,,99114252453506421,ark:/88435/dcvq27zz824,"The coalition: or, an historical memorial of the negotiation for peace, between His High Mightiness of C----m----t and His Sublime Excellency of H---y---s",,1762,English,London : J. Hinxman 1762.,"23, [1] p. ; 4⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,25,
https://figgy.princeton.edu/concern/scanned_resources/b1d82264-26c8-432d-93e1-4203cf7c7fdb/manifest,,99114251223506421,ark:/88435/dc6w924p23r,"An Act to regulate and restrain paper bills of credit in His Majesty’s colonies or plantations of Rhode Island, and Providence plantations, Connecticut, the Massachusetts Bay, and New Hampshire in America; and to prevent the same being legal tenders in payments of money.",Great Britain,1751,English,"London : printed by Thomas Baskett and by the assigns of Robert Baskett, 1751.","[2], 1119-1123, [1] p. ; 2⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,9,
https://figgy.princeton.edu/concern/scanned_resources/e3cbe752-56cb-4c16-9394-04a7e6ab1b7d/manifest,,Lapidus_11425243,,,,,,,,,,,,,HTTP Error 403: Forbidden
https://figgy.princeton.edu/concern/scanned_resources/a6020463-da18-4229-a54f-7ba15aa4c9d2/manifest,,Lapidus_11425242,,,,,,,,,,,,,HTTP Error 403: Forbidden
https://figgy.princeton.edu/concern/scanned_resources/954e3bd5-76fd-4b8d-b624-df349224da39/manifest,,99114252353506421,ark:/88435/dc41687t89w,"The humble address of the Right Honourable the Lords Spiritual and Temporal In Parliament assembled, presented to His Majesty On Friday the Twenty sixth Day of November, 1762. With His Majesty’s most gracious answer",Great Britain. Parliament. House of Lords,1762,English,"London : Printed by Mark Baskett, printer to the King’s Most Excellent Majesty; and by the assigns of Robert Baskett, 1762.",4 p. ; 2⁰.,,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,5,
https://figgy.princeton.edu/concern/scanned_resources/30abfd51-11d7-4a7d-ad94-dffcc66f71b1/manifest,,99114247953506421,ark:/88435/dcx059cj49m,"A decree of Starre-Chamber, concerning printing, made the eleuenth day of July last past. 1637",England and Wales. Court of Star Chamber,1637,English,"Imprinted at London : Robert Barker, printer to the Kings most excellent Maiestie: and by the assignes of Iohn Bill, 1637.",[64] pages 4⁰.,,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,77,
https://figgy.princeton.edu/concern/scanned_resources/d73543a2-e4cf-4023-a729-16a662851777/manifest,,99114252563506421,ark:/88435/dcsq87c505d,"An Act to prevent paper bills of credit, hereafter to be issued in any of His Majesty’s colonies or plantations in America, from being declared to be a legal tender in payments of money; and to prevent the legal tender of such bills as are now subsisting, from being prolonged beyond the periods limited for calling in and sinking the same.",Great Britain,1764,English,"London : printed by Mark Baskett; and by the assigns of Robert Baskett, 1764.","[2], 471-474 p. ; 2⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,9,
https://figgy.princeton.edu/concern/scanned_resources/4be99a70-d6e0-424a-84f9-dd0c4cd8a645/manifest,,99114258033506421,ark:/88435/dcmw22vg11j,"Observations on the Government and Laws of the United States of America , translated from the French of the Abbé de Mably ; with a preface by the translator.","Mably, Gabriel Bonnot de, 1709-1785",1784,English,"London [Amsterdam?] : J.F.R. & Co., 1784.","xxiv, 122 pages ; 12⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,157,
https://figgy.princeton.edu/concern/scanned_resources/0c626116-6ec1-4981-8520-b508fd974e4b/manifest,,99114250313506421,ark:/88435/dcjq085v62t,"An Essay on the Polity of England: with a view to Discover the True Principles of the Government, what Remedies might be likely to cure the Grievances complained of; and why The several Provisions made by the Legislature, and those recommended by Individuals, have failed.","Keld, Christopher",1785,English,"London : T. Cadell, 1785.","[20, 518 pages ; 8⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,567,
https://figgy.princeton.edu/concern/scanned_resources/c514641e-83d1-425b-8a26-23ec5f78870e/manifest,,99114258653506421,ark:/88435/dczp38wp31f,"The History of the Insurrections, in Massachusetts, in the year MDCCLXXXVI, and the rebellion consequent thereon.","Minot, George Richards, 1758-1802",1788,English,"Worcester : Isaiah Thomas, 1788.","iv, [1], 6-192 pages ; 8⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,203,
https://figgy.princeton.edu/concern/scanned_resources/718f5424-e449-44d8-82c9-5381620dbab0/manifest,,99114263583506421,ark:/88435/dcj9602945d,"Trial of Thomas Paine, at Guildhall, before Lord Kenyon, and a special jury. John Campbell, Esq. Foreman. John Lightfoot, Christopher Taddy, Robert Oliphant, Cornelius Donovan, Robert Rolleston, John Lubbock, Richard Tugwell, John Porter, Thomas Druce, Isaac Railton, Henry Evans, Merchants. Council. For the Prosecution. The Attorney General, The Solicitor General, Mr. Bearcroft, Mr. Wood, Mr. Percival. For Thomas Paine. Mr. Erskine, and Mr. Pigott, Solicitors. For the Prosecution. Messrs. Chamberlayne and White, Solicitors to the Treasury. For Thomas Paine, Mr Bonney.","Paine, Thomas, 1737-1809",1793,English,[London] : [publisher not identified] [1793].,"[3], 6-45, [1] pages ; 12⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,57,
https://figgy.princeton.edu/concern/scanned_resources/b139bae0-aea5-4cbb-9dfc-34c8e98313f0/manifest,,99125474187106421,ark:/88435/dc44558q716,A treatise of equity.,,1737,English,"[London] : In the Savoy : Printed by E. and R. Nutt, and R. Gosling (assigns of Edward Sayer, Esq) ; for D. Browne ; and J. Shuckburgh, 1737.","[16], 132 pages ; 2°",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,Equity,157,
https://figgy.princeton.edu/concern/scanned_resources/aa69d187-80ff-45df-a7b7-9c5478c5c870/manifest,,99114256393506421,ark:/88435/dch415pn181,"Autograph letter signed 'TP', 14 January 1779 to President of the Continental Congress Henry Laurens.","Paine, Thomas, 1737-1809",1779,English,,[2] pages ; Folio,,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,7,
https://figgy.princeton.edu/concern/scanned_resources/c47f0cfa-a9cc-41d1-a3ac-286c90b042e0/manifest,,99114257913506421,ark:/88435/dcc247f2746,"Le spectateur américain, ou, Remarques generales sur l'Amerique Septentrionale et sur la republique des Treize-Etats-Unis : suivi de Recherches philosophiques sur la decouverte du Nouveau-monde","Mandrillon, Joseph, 1743-1794",1784,French,Amsterdam : Chez van Harrevelt 1784.,"xvi, 128, 307, [4], 91, [4] p., [2] folded leaves of plates : map ; 8⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,571,
https://figgy.princeton.edu/concern/scanned_resources/4181d6d8-a0da-4291-89f1-88cdaa84ee41/manifest,,99124839123506421,ark:/88435/dc1544c042p,"The trial of Thomas Paine, for certain false, wicked, scandalous and seditious libels inserted in the second part of the rights of man: Before the Right Hon. Lord Kenyon and a special jury, at Guildhall, on Tuesday the 18th December, 1792. Taken in short hand by an eminent advocate.","Paine, Thomas, 1737-1809",1792,English,"London : Printed for W. Richardson, Royal-Exchange; J. Parsons, C. Stalker, Paternoster-Row; Mrs. Harlow, Pall-Mall; and William Lane, Leadenhall-Street, 1792","65, [1] p. ; 8⁰",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,81,
https://figgy.princeton.edu/concern/scanned_resources/78b6a31c-ceae-4386-89fc-5f602deee792/manifest,,99114263733506421,ark:/88435/dcrj430g193,"Observations on the doctrines, and uncharitableness, &c. of the Rev. Mr. Jonathan Parsons, of Newbury; as exhibitted [sic] more especially in his late discourses upon I. Tim. I.15. This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief. By a friend to truth, and lover of mankind.","Tucker, John, 1719-1792",1766,English,"Boston : Edes and Gill, 1757.","70, [2] pages ; 8vo.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,73,
https://figgy.princeton.edu/concern/scanned_resources/ee9696f0-8208-43bc-9161-e034d00b0622/manifest,,9926500503506421,ark:/88435/dc3j333b90x,"Debates and other proceedings of the Convention of Virginia, : convened at Richmond, on Monday the 2d day of June, 1788, for the purpose of deliberating on the Constitution recommended by the Grand Federal Convention. ; To which is prefixed, the Federal Constitution.",Virginia. Convention (1788),1788-1789,English,"Petersburg [Va.]: : Printed by Hunter and Prentis., M, DCC, LXXXVIII[-M, DCC, LXXXIX]. [1788-1789]",3 v. ; 23 cm. (8vo),23,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,United States—Constitution,629,
https://figgy.princeton.edu/concern/scanned_resources/3fbc6ecd-236a-4ca3-8fe8-efd49208c951/manifest,,9925173283506421,ark:/88435/dcft849186f,"A series of answers to certain popular objections against separating from the rebellious colonies, and discarding them entirely : being the concluding tract of the Dean of Glocester, on the subject of American affairs.","Tucker, Josiah, 1712-1799",1776,English,"Glocester : Printed by R. Raikes, and sold by T. Cadell, London, 1776.","xv, [1], [ix]-xiv, [15]-108, [12] p. 22 cm. (8vo).",22,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,United States—Politics and government—1775-1783,129,
https://figgy.princeton.edu/concern/scanned_resources/4507b7b6-4c3f-4bed-989b-bc96155d826f/manifest,,99114250013506421,ark:/88435/dcgt54kz287,"An answer to the queries, contained in A letter to Dr. Shebbeare, printed in the Public Ledger, August 10. Together with animadversions on two speeches in defence of the printers of a paper, subscribed a South Briton. The first pronounced by The Right Hon. Thomas Townshend, in the House of Commons, And printed in the London Packet of February 18. The second by The Right Learned Counsellor Lee, in Guildhall, And printed in the Public Ledger of August 12. In the Examination of which a Comparison naturally arises between the public and private Virtues of Their Present Majesties, and those of King William and Queen Mary. The Merits, also, of Roman Catholics, and of Dissenters from the Church of England, respecting Allegiance and Liberty, and their Claims to National Protection, are fairly stated, from their past and present Transactions. By J. Shebbeare, M. D","Shebbeare, John, 1709-1788",1774,English,London : S. Hooper and T. Davies 1774.,"179, [1] pages",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,187,
https://figgy.princeton.edu/concern/scanned_resources/731cad81-d9c5-4416-bfe0-6b96e01a94f1/manifest,,9929785893506421,ark:/88435/dcpc289v32t,The appeal to the public answered in behalf of the non-Episcopal churches in America; containing remarks on what Dr. Thomas Bradbury Chandler has advanced on the four following points: the original and nature of the Episcopal Office; reasons for sending bishops to America; the plan on which it is proposed to send them; and the objections against sending them obviated and refuted. Wherein the reasons for an American Episcopate are shewn to be insufficient and the objections against it in full force.,"Chauncy, Charles, 1705-1787",1768,English,"Boston, Printed by Kneeland and Adams for T. Leverett, 1768.","205, [1] p. 22 cm. (8vo).",22,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,"Chandler, Thomas Bradbury 1726-1790—An appeal to the public in behalf of the Church of England in America",215,
https://figgy.princeton.edu/concern/scanned_resources/03d30f56-200b-4e39-ac94-573629eb2e87/manifest,,99114253633506421,ark:/88435/dcqj72pj39r,"A Sermon Preached in Christ's-Church Philadelphia, before the ancient and honourable fraternity of free and accepted Masons, upon Monday, December 28th, 1767, being St. John's Day. By the Reverend Mr. Smith, D.D","Smith, William, 1727-1803",1768,English,"Glasgow : William Gardner and Co., 1768.",16 pages ; 8⁰.,,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,18,
https://figgy.princeton.edu/concern/scanned_resources/c987e314-5905-468a-b84d-9b147f24eb18/manifest,,99114254533506421,ark:/88435/dcdb78tp287,"The Twelve United Colonies by their Delegates in Congress, to their Inhabitants of Great-Britain",United States. Continental Congress,1775,English,[Philadelphia] : [William and Thomas Bradford] 1775.,8 pages ; 8⁰.,,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,22,
https://figgy.princeton.edu/concern/scanned_resources/ffac4529-2f1d-450e-9d3b-6845b7beef85/manifest,,9939313173506421,ark:/88435/dcwp988w04k,Taxation no tyranny : an answer to the resolutions and address of the American Congress.,"Johnson, Samuel, 1709-1784",1775,English,"London : Printed for T. Cadell, in the Strand, 1775.","[4], 91, [1] p. ; 21 cm. (8vo).",21,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,Taxation—England—Public opinion,113,
https://figgy.princeton.edu/concern/scanned_resources/7e78d5dc-3be6-4ca7-a81c-2e10548e6f0e/manifest,,99114254643506421,ark:/88435/dcp5548261p,"A speech, intended to have been delivered in the House of Commons, in support of the petition from the general Congress at Philadelphia. By the author of An appeal to the justice and interests of Great-Britain.","Lee, Arthur, 1740-1792",1775,English,"London : J. Almon, 1775.","[4], 67, [1] pages ; 8⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,71,
https://figgy.princeton.edu/concern/scanned_resources/92513caa-9d6d-44a8-b8f3-f4a48d42724b/manifest,,99125441531406421,ark:/88435/dcc247f334t,"An answer to the printed speech of Edmund Burke, Esq ; spoken in the House of Commons, April 19, 1774. In which his knowledge in polity, legislature, humankind, history, commerce and finance is candidly examined ; his arguments are fairly refuted; the conduct of administration is fully defended; and his oratoric talents are clearly exposed to view. Addressed to the people.","Shebbeare, John, 1709-1788",1775,English,"London : Printed for T. Evans ; and J. Bew, 1775.","iv, 222 pages ; 8°",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,216,
